Term,Stamm,Sprache,Zeitraum
Uhr,ûre,Middle Low German,1200 CE - 1600 CE
Uhr,ure,Middle Dutch,1150 CE - 1500 CE
Uhr,*ūra,Old Dutch,600 CE - 1200 CE
Uhr,houre,Old French,800 CE - 1400 CE
Uhr,hōra,Latin,700 BCE - 500 CE
Uhr,ὥρα,Ancient Greek,1500 BCE - 300 BCE
Uhr,*yeh₁-,Proto-Indo-European,4500 BCE - 2500 BCE
um,umbe,Middle High German,1050 CE - 1500 CE
um,umbi,Old High German,750 CE - 1050 CE
um,*umbi,Proto-West Germanic,before 500 CE (unconfirmed)
Angola,ngola,Kimbundu,not available
China,چینی,Persian,1000 CE - present
China,𐭰𐭩𐭭,Middle Persian,300 BCE - 651 CE
China,चीन,Sanskrit,1500 BCE - present (liturgical/classical)
Portugal,Portus Cale,Latin,700 BCE - 500 CE
Vietnam,Việt Nam,Vietnamese,not available
Uganda,Uganda,Swahili,not available
Uganda,Buganda,Luganda,not available
Burkina Faso,burkina,Moore,not available
Burkina Faso,faso,Dyula,not available
Palau,Belau,Palauan,not available
Schadenfreude,Schaden,German,750 CE - present
Schadenfreude,Freude,German,750 CE - present
Jupiter,Iuppiter,Latin,700 BCE - 500 CE
Eritrea,erythraeus,Latin,700 BCE - 500 CE
Eritrea,ἐρυθρός,Ancient Greek,1500 BCE - 300 BCE
after,after,Middle High German,1050 CE - 1500 CE
after,after,Old High German,750 CE - 1050 CE
parallel,παράλληλος,Ancient Greek,1500 BCE - 300 BCE
an,ana,Old High German,750 CE - 1050 CE
Samstag,sameztac,Middle High German,1050 CE - 1500 CE
Samstag,sambaztag,Old High German,750 CE - 1050 CE
Samstag,*𐍃𐌰𐌼𐌱𐌰𐍄𐍉,Gothic,not available
Samstag,*σάμβατον,Byzantine Greek,not available
Volapük, + ,English,1550 CE - present
her,hera,Old High German,750 CE - 1050 CE
all,al,Middle High German,1050 CE - 1500 CE
all,al,Old High German,750 CE - 1050 CE
all,*all,Proto-West Germanic,before 500 CE (unconfirmed)
all,*allaz,Proto-Germanic,500 BCE - 500 CE
arm,*arm,Proto-West Germanic,before 500 CE (unconfirmed)
arm,*armaz,Proto-Germanic,500 BCE - 500 CE
arm,*h₂erH-,Proto-Indo-European,4500 BCE - 2500 BCE
arm,*h₃erbʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
was,waz,Middle High German,1050 CE - 1500 CE
was,waz,Old High German,750 CE - 1050 CE
was,*hwat,Proto-Germanic,500 BCE - 500 CE
was,*kʷod,Proto-Indo-European,4500 BCE - 2500 BCE
nicht,niwiht,Middle High German,1050 CE - 1500 CE
nicht,niowiht,Old High German,750 CE - 1050 CE
nicht,*wihtą,Proto-Germanic,500 BCE - 500 CE
warm,warm,Old High German,750 CE - 1050 CE
cool,*kōlaz,Proto-Germanic,500 BCE - 500 CE
Afrikaans,Afrikaans,Dutch,1500 CE - present
Abdera,Ἄβδηρα,Ancient Greek,1500 BCE - 300 BCE
bei,bī,Middle High German,1050 CE - 1500 CE
bei,bī,Old High German,750 CE - 1050 CE
bei,*bī,Proto-West Germanic,before 500 CE (unconfirmed)
bei,*bi,Proto-Germanic,500 BCE - 500 CE
so,*swā,Proto-West Germanic,before 500 CE (unconfirmed)
so,*swa,Proto-Germanic,500 BCE - 500 CE
safe,safe,English,1550 CE - present
oral,os,Latin,700 BCE - 500 CE
lose,lōs,Old High German,750 CE - 1050 CE
regnen,regenen,Middle High German,1050 CE - 1500 CE
regnen,reganōn,Old High German,750 CE - 1050 CE
sehen,sehen,Middle High German,1050 CE - 1500 CE
sehen,sehan,Old High German,750 CE - 1050 CE
sehen,*sehwan,Proto-West Germanic,before 500 CE (unconfirmed)
liberal,līberālis,Latin,700 BCE - 500 CE
down,down,English,1550 CE - present
hier,hier,Middle High German,1050 CE - 1500 CE
hier,hier,Old High German,750 CE - 1050 CE
hier,*hēr,Proto-West Germanic,before 500 CE (unconfirmed)
hier,hīr,Middle Low German,1200 CE - 1600 CE
Muslim,مُسْلِم,Arabic,600 CE - present
er,er,Middle High German,1050 CE - 1500 CE
er,er,Old High German,750 CE - 1050 CE
er,*iʀ,Proto-West Germanic,before 500 CE (unconfirmed)
er,*iz,Proto-Germanic,500 BCE - 500 CE
bitten,bitten,Middle High German,1050 CE - 1500 CE
bitten,bitten,Old High German,750 CE - 1050 CE
bitten,*biddjan,Proto-West Germanic,before 500 CE (unconfirmed)
fallen,vallen,Middle High German,1050 CE - 1500 CE
fallen,fallan,Old High German,750 CE - 1050 CE
fallen,*fallan,Proto-West Germanic,before 500 CE (unconfirmed)
fallen,*fallaną,Proto-Germanic,500 BCE - 500 CE
fallen,*pōl-,Proto-Indo-European,4500 BCE - 2500 BCE
blond,blond,French,1600 CE - present
blond,*blund,Frankish,not available
blond,*blundaz,Proto-Germanic,500 BCE - 500 CE
blond,*bʰlendʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
fit,fit,English,1550 CE - present
hold,holt,Middle High German,1050 CE - 1500 CE
hold,hold,Old High German,750 CE - 1050 CE
hold,*hulþaz,Proto-Germanic,500 BCE - 500 CE
ideal,idea,Latin,700 BCE - 500 CE
straight,straight,English,1550 CE - present
bitter,bitter,Middle High German,1050 CE - 1500 CE
bitter,bittar,Old High German,750 CE - 1050 CE
bitter,*bit(t)r,Proto-West Germanic,before 500 CE (unconfirmed)
bitter,*bitraz,Proto-Germanic,500 BCE - 500 CE
power,pauper,Latin,700 BCE - 500 CE
US,US,English,1550 CE - present
Rom,Roma,Latin,700 BCE - 500 CE
Rom,rrom,Romani,not available
du,du,Middle High German,1050 CE - 1500 CE
du,dū,Old High German,750 CE - 1050 CE
du,*þū,Proto-West Germanic,before 500 CE (unconfirmed)
du,*þū,Proto-Germanic,500 BCE - 500 CE
du,*túh₂,Proto-Indo-European,4500 BCE - 2500 BCE
rotten,roten,Middle High German,1050 CE - 1500 CE
rotten,rote,Old French,800 CE - 1400 CE
rotten,rupta,Latin,700 BCE - 500 CE
rotten,*rudōną,Proto-Germanic,500 BCE - 500 CE
rotten,rotten,Middle Low German,1200 CE - 1600 CE
rotten,rotōn,Old Saxon,not available
rotten,*rutāną,Proto-Germanic,500 BCE - 500 CE
fünf,vünf,Middle High German,1050 CE - 1500 CE
fünf,fimf,Old High German,750 CE - 1050 CE
sorry,sorry,English,1550 CE - present
still,stille,Middle High German,1050 CE - 1500 CE
still,stilli,Old High German,750 CE - 1050 CE
still,*stillī,Proto-West Germanic,before 500 CE (unconfirmed)
gram,gram,Middle High German,1050 CE - 1500 CE
gram,gram,Old High German,750 CE - 1050 CE
gram,*gramaz,Proto-Germanic,500 BCE - 500 CE
sicher,siher,Middle High German,1050 CE - 1500 CE
sicher,sihur,Old High German,750 CE - 1050 CE
sicher,*sikur,Proto-West Germanic,before 500 CE (unconfirmed)
sicher,sēcūrus,Latin,700 BCE - 500 CE
französisch,franzoisisch,Middle High German,1050 CE - 1500 CE
französisch,françois,Old French,800 CE - 1400 CE
mutig,muotic,Middle High German,1050 CE - 1500 CE
mutig,muotag,Old High German,750 CE - 1050 CE
mutig,*mōdagaz,Proto-Germanic,500 BCE - 500 CE
Laura,Laura,Latin,700 BCE - 500 CE
Ursula,Ursula,Latin,700 BCE - 500 CE
ich,ich,Middle High German,1050 CE - 1500 CE
ich,ih,Old High German,750 CE - 1050 CE
ich,", ",Proto-Germanic,500 BCE - 500 CE
ich,*éǵh₂,Proto-Indo-European,4500 BCE - 2500 BCE
hart,hart,Middle High German,1050 CE - 1500 CE
hart,hart,Old High German,750 CE - 1050 CE
hart,*hard(ī),Proto-West Germanic,before 500 CE (unconfirmed)
hart,*harduz,Proto-Germanic,500 BCE - 500 CE
hart,*kret-,Proto-Indo-European,4500 BCE - 2500 BCE
Apfel,apfel,Middle High German,1050 CE - 1500 CE
Apfel,apful,Old High German,750 CE - 1050 CE
Apfel,*applu,Proto-West Germanic,before 500 CE (unconfirmed)
Apfel,*aplaz,Proto-Germanic,500 BCE - 500 CE
Apfel,*h₂ébōl,Proto-Indo-European,4500 BCE - 2500 BCE
astral,astralis,Late Latin,200 CE - 600 CE
astral,astrum,Latin,700 BCE - 500 CE
astral,ἄστρον,Ancient Greek,1500 BCE - 300 BCE
Kugelschnecke,Kugel,German,750 CE - present
Kugelschnecke,Schnecke,German,750 CE - present
Kugel,kugel,Middle High German,1050 CE - 1500 CE
original,original,Old French,800 CE - 1400 CE
original,orīginālis,Late Latin,200 CE - 600 CE
original,orīgō,Latin,700 BCE - 500 CE
fast,fasto,Old High German,750 CE - 1050 CE
link,linc,Middle High German,1050 CE - 1500 CE
link,*link,Old High German,750 CE - 1050 CE
Sonnabend,sunābent,Middle High German,1050 CE - 1500 CE
Sonnabend,sunnūnāband,Old High German,750 CE - 1050 CE
Sonnabend,sunnanǣfen,Old English,450 CE - 1150 CE
eng,enge,Middle High German,1050 CE - 1500 CE
eng,engi,Old High German,750 CE - 1050 CE
eng,*angī,Proto-West Germanic,before 500 CE (unconfirmed)
Papierflieger,Papier,German,750 CE - present
Papierflieger,Flieger,German,750 CE - present
wir,wir,Middle High German,1050 CE - 1500 CE
wir,wir,Old High German,750 CE - 1050 CE
wir,*wiʀ,Proto-West Germanic,before 500 CE (unconfirmed)
rein,reine,Middle High German,1050 CE - 1500 CE
rein,reini,Old High German,750 CE - 1050 CE
rein,*hrainī,Proto-West Germanic,before 500 CE (unconfirmed)
rein,*hrainiz,Proto-Germanic,500 BCE - 500 CE
Herz,herze,Middle High German,1050 CE - 1500 CE
Herz,herza,Old High German,750 CE - 1050 CE
Herz,*hertā,Proto-West Germanic,before 500 CE (unconfirmed)
Herz,*hertô,Proto-Germanic,500 BCE - 500 CE
Herz,*ḱḗr,Proto-Indo-European,4500 BCE - 2500 BCE
geben,geben,Middle High German,1050 CE - 1500 CE
geben,geban,Old High German,750 CE - 1050 CE
geben,*geban,Proto-West Germanic,before 500 CE (unconfirmed)
geben,*gebaną,Proto-Germanic,500 BCE - 500 CE
geben,*gʰebʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
langsam,lancsam,Middle High German,1050 CE - 1500 CE
langsam,lancsam,Old High German,750 CE - 1050 CE
langsam,*langasam,Proto-West Germanic,before 500 CE (unconfirmed)
ledig,", ",Middle High German,1050 CE - 1500 CE
ledig,*lidig,Old High German,750 CE - 1050 CE
ledig,*liþugaz,Proto-Germanic,500 BCE - 500 CE
rot,rōt,Middle High German,1050 CE - 1500 CE
rot,rōt,Old High German,750 CE - 1050 CE
rot,*raudaz,Proto-Germanic,500 BCE - 500 CE
rot,*h₁rowdʰós,Proto-Indo-European,4500 BCE - 2500 BCE
CD,CD,English,1550 CE - present
null,nulla,Italian,1400 CE - present
null,nulla,Latin,700 BCE - 500 CE
elf,eilf,Middle High German,1050 CE - 1500 CE
elf,einlif,Old High German,750 CE - 1050 CE
elf,*ainalif,Proto-Germanic,500 BCE - 500 CE
elf,elf,Middle Low German,1200 CE - 1600 CE
Buch,buoh,Old High German,750 CE - 1050 CE
Buch,*bōk,Proto-West Germanic,before 500 CE (unconfirmed)
Buch,*bōks,Proto-Germanic,500 BCE - 500 CE
Buch,būh,Old High German,750 CE - 1050 CE
Honig,honic,Middle High German,1050 CE - 1500 CE
Honig,honag,Old High German,750 CE - 1050 CE
Honig,*hunag,Proto-West Germanic,before 500 CE (unconfirmed)
Honig,*hunagą,Proto-Germanic,500 BCE - 500 CE
Fisch,visch,Middle High German,1050 CE - 1500 CE
Fisch,fisk,Old High German,750 CE - 1050 CE
Fisch,*fisk,Proto-West Germanic,before 500 CE (unconfirmed)
Feder,vëdere,Middle High German,1050 CE - 1500 CE
Feder,fedara,Old High German,750 CE - 1050 CE
Feder,*feþru,Proto-West Germanic,before 500 CE (unconfirmed)
Feder,*feþrō,Proto-Germanic,500 BCE - 500 CE
Feder,*péth₂r̥,Proto-Indo-European,4500 BCE - 2500 BCE
Straße,strāze,Middle High German,1050 CE - 1500 CE
Straße,strāza,Old High German,750 CE - 1050 CE
Straße,*strātu,Proto-West Germanic,before 500 CE (unconfirmed)
Straße,strāta,Latin,700 BCE - 500 CE
un-,un-,Middle High German,1050 CE - 1500 CE
un-,un-,Old High German,750 CE - 1050 CE
un-,*un-,Proto-West Germanic,before 500 CE (unconfirmed)
un-,*un-,Proto-Germanic,500 BCE - 500 CE
un-,*n̥-,Proto-Indo-European,4500 BCE - 2500 BCE
links,linkes,Middle High German,1050 CE - 1500 CE
Impressum,impressum,Latin,700 BCE - 500 CE
Vakuum,vacuus,Latin,700 BCE - 500 CE
neunzehn,niunzehan,Old High German,750 CE - 1050 CE
neunzehn,*newuntehun,Proto-Germanic,500 BCE - 500 CE
es,ëz,Middle High German,1050 CE - 1500 CE
es,iz,Old High German,750 CE - 1050 CE
es,*it,Proto-Germanic,500 BCE - 500 CE
vier,vier,Middle High German,1050 CE - 1500 CE
vier,fior,Old High German,750 CE - 1050 CE
vier,*feuwar,Proto-West Germanic,before 500 CE (unconfirmed)
vier,*fedwōr,Proto-Germanic,500 BCE - 500 CE
vier,*kʷetwṓr,Proto-Indo-European,4500 BCE - 2500 BCE
acht,ahte,Middle High German,1050 CE - 1500 CE
acht,ahto,Old High German,750 CE - 1050 CE
acht,*ahtō,Proto-West Germanic,before 500 CE (unconfirmed)
acht,*ahtōu,Proto-Germanic,500 BCE - 500 CE
acht,*oḱtṓw,Proto-Indo-European,4500 BCE - 2500 BCE
Maus,mūs,Middle High German,1050 CE - 1500 CE
Maus,mūs,Old High German,750 CE - 1050 CE
Maus,*mūs,Proto-Germanic,500 BCE - 500 CE
Nike,Νίκη,Ancient Greek,1500 BCE - 300 BCE
Nike,Nike,English,1550 CE - present
Lexikon,λεξικόν,Ancient Greek,1500 BCE - 300 BCE
gut,guot,Old High German,750 CE - 1050 CE
gut,*gōd,Proto-West Germanic,before 500 CE (unconfirmed)
gut,*gōdaz,Proto-Germanic,500 BCE - 500 CE
gut,*gʰedʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
Albert,adal,Old High German,750 CE - 1050 CE
hallo,holā,Old High German,750 CE - 1050 CE
hallo,*holōn,Proto-West Germanic,before 500 CE (unconfirmed)
das,daz,Middle High German,1050 CE - 1500 CE
das,daz,Old High German,750 CE - 1050 CE
das,*þat,Proto-Germanic,500 BCE - 500 CE
baba,baba,Turkish,not available
der,der,Middle High German,1050 CE - 1500 CE
der,der,Old High German,750 CE - 1050 CE
der,*sa,Proto-Germanic,500 BCE - 500 CE
Sohle,sole,Middle High German,1050 CE - 1500 CE
Sohle,sola,Old High German,750 CE - 1050 CE
intelligent,intelligens,Latin,700 BCE - 500 CE
schnell,snel,Middle High German,1050 CE - 1500 CE
schnell,snel,Old High German,750 CE - 1050 CE
schnell,*snellaz,Proto-Germanic,500 BCE - 500 CE
New Yorker,New Yorker,English,1550 CE - present
quick,quik,Old Saxon,not available
quick,*kwik(k)w,Proto-West Germanic,before 500 CE (unconfirmed)
quick,*kwikwaz,Proto-Germanic,500 BCE - 500 CE
echt,echt,Middle High German,1050 CE - 1500 CE
echt,echt,Middle Low German,1200 CE - 1600 CE
transparent,transparent,French,1600 CE - present
Michael,Michaēl,Latin,700 BCE - 500 CE
Michael,מיכאל,Biblical Hebrew,1000 BCE - 500 BCE
Nachtwächter,Nacht,German,750 CE - present
Nachtwächter,Wächter,German,750 CE - present
Christ,kriste,Middle High German,1050 CE - 1500 CE
psycho-,ψυχή,Ancient Greek,1500 BCE - 300 BCE
-um,-um,Latin,700 BCE - 500 CE
-um,-em,Old Frisian,not available
Christopher,Christopher,English,1550 CE - present
Aachen,Āche,Middle High German,1050 CE - 1500 CE
Aachen,Āhha,Old High German,750 CE - 1050 CE
Aachen,aquae,Latin,700 BCE - 500 CE
Michelle,Michelle,French,1600 CE - present
bang,bange,Middle High German,1050 CE - 1500 CE
bang,ango,Old High German,750 CE - 1050 CE
bang,*anguz,Proto-Germanic,500 BCE - 500 CE
banal,bannalis,Medieval Latin,600 CE - 1400 CE
Abu Dhabi,أَبُو ظَبْي,Arabic,600 CE - present
Abu Dhabi,Abu Dhabi,English,1550 CE - present
Berlin,Berlyn,Middle Low German,1200 CE - 1600 CE
Florida,Florida,Dutch,1500 CE - present
Florida,Florida,English,1550 CE - present
bar,bar,Old High German,750 CE - 1050 CE
bald,balde,Middle High German,1050 CE - 1500 CE
bald,baldo,Old High German,750 CE - 1050 CE
bald,*balþ,Proto-West Germanic,before 500 CE (unconfirmed)
bald,*balþaz,Proto-Germanic,500 BCE - 500 CE
bald,*bʰel-,Proto-Indo-European,4500 BCE - 2500 BCE
englisch,englisch,Middle High German,1050 CE - 1500 CE
englisch,English,English,1550 CE - present
Manila,Maynila,Tagalog,not available
Manila,नील,Sanskrit,1500 BCE - present (liturgical/classical)
nice,nice,English,1550 CE - present
legen,legen,Middle High German,1050 CE - 1500 CE
legen,leggen,Old High German,750 CE - 1050 CE
legen,*laggjan,Proto-West Germanic,before 500 CE (unconfirmed)
legen,*lagjaną,Proto-Germanic,500 BCE - 500 CE
Stuttgart,stuotgarten,Old High German,750 CE - 1050 CE
Hamburg,Hamme,Old High German,750 CE - 1050 CE
Zeitgeist,Zeit,German,750 CE - present
Zeitgeist,Geist,German,750 CE - present
Zeitgeist, ,Latin,700 BCE - 500 CE
Schiebedach,schieben,German,750 CE - present
Schiebedach,Dach,German,750 CE - present
Schicksal,schiksel,Dutch,1500 CE - present
Schaf,schāf,Middle High German,1050 CE - 1500 CE
Schaf,scāf,Old High German,750 CE - 1050 CE
Schaf,*skēpą,Proto-Germanic,500 BCE - 500 CE
glauben,gelouben,Middle High German,1050 CE - 1500 CE
glauben,gilouben,Old High German,750 CE - 1050 CE
glauben,*galaubijan,Proto-West Germanic,before 500 CE (unconfirmed)
glauben,*galaubijaną,Proto-Germanic,500 BCE - 500 CE
biegen,biegen,Middle High German,1050 CE - 1500 CE
biegen,biogan,Old High German,750 CE - 1050 CE
biegen,*beugan,Proto-West Germanic,before 500 CE (unconfirmed)
biegen,*beuganą,Proto-Germanic,500 BCE - 500 CE
biegen,*bʰewgʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
Fenster,venster,Middle High German,1050 CE - 1500 CE
Fenster,fenstar,Old High German,750 CE - 1050 CE
Fenster,fenestra,Latin,700 BCE - 500 CE
wat,wat,Central Franconian,not available
wat,wat,Middle High German,1050 CE - 1500 CE
wat,hwat,Old High German,750 CE - 1050 CE
wat,wat,German Low German,not available
wat,wat,Middle Low German,1200 CE - 1600 CE
wat,hwat,Old Saxon,not available
Mittag,mittetac,Middle High German,1050 CE - 1500 CE
Mittag,mittitac,Old High German,750 CE - 1050 CE
breit,breit,Middle High German,1050 CE - 1500 CE
breit,breit,Old High German,750 CE - 1050 CE
breit,*braid,Proto-West Germanic,before 500 CE (unconfirmed)
breit,*braidaz,Proto-Germanic,500 BCE - 500 CE
in-,*in,Proto-Germanic,500 BCE - 500 CE
in-,*en,Proto-Indo-European,4500 BCE - 2500 BCE
-ist,-iste,French,1600 CE - present
bergen,bergen,Middle High German,1050 CE - 1500 CE
bergen,bergan,Old High German,750 CE - 1050 CE
bergen,*bergan,Proto-West Germanic,before 500 CE (unconfirmed)
bergen,*berganą,Proto-Germanic,500 BCE - 500 CE
los,lōs,Old High German,750 CE - 1050 CE
ach,ach,Middle High German,1050 CE - 1500 CE
ach,ah,Old High German,750 CE - 1050 CE
Nacktschnecke,nackt,German,750 CE - present
Nacktschnecke,Schnecke,German,750 CE - present
Gaul,gūl,Middle High German,1050 CE - 1500 CE
Gaul,*geutan,Proto-West Germanic,before 500 CE (unconfirmed)
ohne,āne,Middle High German,1050 CE - 1500 CE
ohne,āna,Old High German,750 CE - 1050 CE
ohne,*ēnu,Proto-Germanic,500 BCE - 500 CE
ohne,*h₁(n̥)new,Proto-Indo-European,4500 BCE - 2500 BCE
Hesse,Hesse,Middle High German,1050 CE - 1500 CE
Hesse,Hesso,Old High German,750 CE - 1050 CE
Hesse,*hatjaną,Proto-Germanic,500 BCE - 500 CE
Bremen,bremo,Old Saxon,not available
mit,mite,Middle High German,1050 CE - 1500 CE
mit,miti,Old High German,750 CE - 1050 CE
mit,*midi,Proto-West Germanic,before 500 CE (unconfirmed)
Saarland,Saar,German,750 CE - present
Saarland,Land,German,750 CE - present
Schleswig-Holstein,Schleswig,German,750 CE - present
Schleswig-Holstein,Holstein,German,750 CE - present
Holland,Hollant,Middle High German,1050 CE - 1500 CE
Holland,Hollant,Old Dutch,600 CE - 1200 CE
Nilpferd,Nil,German,750 CE - present
Nilpferd,Pferd,German,750 CE - present
Nilpferd,hippopotamus,Latin,700 BCE - 500 CE
Nilpferd,ἱπποπόταμος,Ancient Greek,1500 BCE - 300 BCE
Flusspferd,Fluss,German,750 CE - present
Flusspferd,Pferd,German,750 CE - present
Flusspferd,ἱπποπόταμος,Ancient Greek,1500 BCE - 300 BCE
etwas,eddeshwaz,Old High German,750 CE - 1050 CE
kaputt,capot,French,1600 CE - present
fair,fæġer,Old English,450 CE - 1150 CE
fair,*fagr,Proto-West Germanic,before 500 CE (unconfirmed)
fair,*fagraz,Proto-Germanic,500 BCE - 500 CE
Alexandria,Ἀλεξάνδρεια,Ancient Greek,1500 BCE - 300 BCE
Tisch,tisch,Middle High German,1050 CE - 1500 CE
Tisch,tisc,Old High German,750 CE - 1050 CE
Tisch,*disk,Proto-West Germanic,before 500 CE (unconfirmed)
Tisch,discus,Latin,700 BCE - 500 CE
Tisch,δίσκος,Ancient Greek,1500 BCE - 300 BCE
proper,propre,Old French,800 CE - 1400 CE
proper,proprius,Latin,700 BCE - 500 CE
proper,proper,Middle Dutch,1150 CE - 1500 CE
proper,propre,French,1600 CE - present
random,random,English,1550 CE - present
müde,müede,Middle High German,1050 CE - 1500 CE
müde,muodi,Old High German,750 CE - 1050 CE
müde,*mōþī,Proto-West Germanic,before 500 CE (unconfirmed)
Schneeball,Schnee,German,750 CE - present
Schneeball,Ball,German,750 CE - present
Pickelhaube,Pickel,German,750 CE - present
Pickelhaube,Haube,German,750 CE - present
da,dā,Middle High German,1050 CE - 1500 CE
da,thār,Old High German,750 CE - 1050 CE
da,*þar,Proto-Germanic,500 BCE - 500 CE
da,dar,Middle High German,1050 CE - 1500 CE
da,thara,Old High German,750 CE - 1050 CE
da,dō,Middle High German,1050 CE - 1500 CE
da,*þō,Proto-Germanic,500 BCE - 500 CE
je,io,Old High German,750 CE - 1050 CE
Skopje,Скопје,Macedonian,not available
Malte,Malte,Danish,not available
übersetzen,traduco,Latin,700 BCE - 500 CE
übersetzen,ōversetten,Middle Low German,1200 CE - 1600 CE
Wörterbuch,Wörter,German,750 CE - present
Wörterbuch,Buch,German,750 CE - present
Menge,managī,Old High German,750 CE - 1050 CE
Menge,*managį̄,Proto-Germanic,500 BCE - 500 CE
deutsch,diutisch,Middle High German,1050 CE - 1500 CE
deutsch,diutisk,Old High German,750 CE - 1050 CE
deutsch,*þiudisk,Proto-West Germanic,before 500 CE (unconfirmed)
deutsch,*þiudiskaz,Proto-Germanic,500 BCE - 500 CE
deutsch,*þeudō,Proto-Germanic,500 BCE - 500 CE
deutsch,*tewtéh₂,Proto-Indo-European,4500 BCE - 2500 BCE
Friesland,Friese,German,750 CE - present
Friesland,Land,German,750 CE - present
Kuh,kuo,Middle High German,1050 CE - 1500 CE
Kuh,kuo,Old High German,750 CE - 1050 CE
Kuh,*kū,Proto-West Germanic,before 500 CE (unconfirmed)
windisch,windisch,Middle High German,1050 CE - 1500 CE
windisch,windisc,Old High German,750 CE - 1050 CE
windisch,*winidiskaz,Proto-Germanic,500 BCE - 500 CE
Wermut,wërmuote,Middle High German,1050 CE - 1500 CE
Wermut,werimuota,Old High German,750 CE - 1050 CE
Wermut,*warjamōdā,Proto-West Germanic,before 500 CE (unconfirmed)
Welt,welt,Middle High German,1050 CE - 1500 CE
Welt,weralt,Old High German,750 CE - 1050 CE
Welt,*weraldi,Proto-West Germanic,before 500 CE (unconfirmed)
Welt,*weraldiz,Proto-Germanic,500 BCE - 500 CE
Pflanze,pflanza,Old High German,750 CE - 1050 CE
Pflanze,planta,Latin,700 BCE - 500 CE
Heimweh,Heim,German,750 CE - present
Heimweh,Weh,German,750 CE - present
ihr,ir,Middle High German,1050 CE - 1500 CE
ihr,ir,Old High German,750 CE - 1050 CE
ihr,*jiʀ,Proto-West Germanic,before 500 CE (unconfirmed)
ihr,*jīz,Proto-Germanic,500 BCE - 500 CE
ihr,iru,Old High German,750 CE - 1050 CE
ihr,ira,Old High German,750 CE - 1050 CE
ihr,iro,Old High German,750 CE - 1050 CE
Sehnsucht,sehnen,German,750 CE - present
